movie_title,genres,plot_keywords,actor_1_name,actor_2_name,actor_3_name,director_name,combined_features
meet the browns,comedy,african american character name in title family relationships sitcom,lamman rucker,david mann,denise boutte,,comedy african american character name in title family relationships sitcom lamman rucker david mann denise boutte 
epic movie,adventure comedy,chocolate chocolate factory factory orphan student,david carradine,carmen electra,fred willard,jason friedberg,adventure comedy chocolate chocolate factory factory orphan student david carradine carmen electra fred willard jason friedberg
conan the barbarian,adventure fantasy,actual animal killed cult evil sorcerer gladiator warlord,william smith,mako,sandahl bergman,john milius,adventure fantasy actual animal killed cult evil sorcerer gladiator warlord william smith mako sandahl bergman john milius
spotlight,biography crime drama history,cover up investigation journalist newspaper sexual abuse,billy crudup,jamey sheridan,brian d'arcy james,tom mccarthy,biography crime drama history cover up investigation journalist newspaper sexual abuse billy crudup jamey sheridan brian d'arcy james tom mccarthy
lakeview terrace,crime drama thriller,interracial couple lapd male nudity neighbor nudity,jay hernandez,justin chambers,robert pine,neil labute,crime drama thriller interracial couple lapd male nudity neighbor nudity jay hernandez justin chambers robert pine neil labute
the grudge 2,horror thriller,curse ghost haunted house high school schoolgirl,sarah michelle gellar,sarah roemer,matthew knight,takashi shimizu,horror thriller curse ghost haunted house high school schoolgirl sarah michelle gellar sarah roemer matthew knight takashi shimizu
how stella got her groove back,comedy drama romance,female protagonist jamaica six word title tragic event vacation,richard lawson,james pickens jr.,barry shabaka henley,kevin rodney sullivan,comedy drama romance female protagonist jamaica six word title tragic event vacation richard lawson james pickens jr. barry shabaka henley kevin rodney sullivan
bill & ted's bogus journey,adventure comedy fantasy music sci-fi,battle of the bands bill and ted heaven hell robot,keanu reeves,george carlin,alex winter,peter hewitt,adventure comedy fantasy music sci-fi battle of the bands bill and ted heaven hell robot keanu reeves george carlin alex winter peter hewitt
man of the year,comedy drama romance thriller,campaign election president presidential election satire,robin williams,tina fey,amy poehler,barry levinson,comedy drama romance thriller campaign election president presidential election satire robin williams tina fey amy poehler barry levinson
the black hole,action sci-fi,black hole escape palomino robot scientist,robert forster,maximilian schell,yvette mimieux,gary nelson,action sci-fi black hole escape palomino robot scientist robert forster maximilian schell yvette mimieux gary nelson
the american,crime drama thriller,ambush assassin priest prostitute sweden,violante placido,thekla reuten,filippo timi,anton corbijn,crime drama thriller ambush assassin priest prostitute sweden violante placido thekla reuten filippo timi anton corbijn
selena,biography drama music,latin music marriage on tour singer tejano,jon seda,constance marie,jacob vargas,gregory nava,biography drama music latin music marriage on tour singer tejano jon seda constance marie jacob vargas gregory nava
vampires suck,comedy,cat friend love sheriff teenager,diedrich bader,dave foley,anneliese van der pol,jason friedberg,comedy cat friend love sheriff teenager diedrich bader dave foley anneliese van der pol jason friedberg
babel,drama,american destiny mexican border multiple perspectives muslim,brad pitt,harriet walter,dermot crowley,alejandro g. iñárritu,drama american destiny mexican border multiple perspectives muslim brad pitt harriet walter dermot crowley alejandro g. iñárritu
this is where i leave you,comedy drama,brother sister relationship childhood home man child sibling vomiting,tina fey,abigail spencer,jane fonda,shawn levy,comedy drama brother sister relationship childhood home man child sibling vomiting tina fey abigail spencer jane fonda shawn levy
doubt,drama mystery,boy catholic nun priest student,philip seymour hoffman,meryl streep,carrie preston,john patrick shanley,drama mystery boy catholic nun priest student philip seymour hoffman meryl streep carrie preston john patrick shanley
team america: world police,action comedy,actor arab stereotype broadway terrorist vomiting,jeremy shada,maurice lamarche,trey parker,trey parker,action comedy actor arab stereotype broadway terrorist vomiting jeremy shada maurice lamarche trey parker trey parker
texas chainsaw 3d,horror thriller,chainsaw halloween mansion massacre texas,gunnar hansen,keram malicki-sánchez,shaun sipos,john luessenhop,horror thriller chainsaw halloween mansion massacre texas gunnar hansen keram malicki-sánchez shaun sipos john luessenhop
copycat,crime drama mystery thriller,agoraphobia copycat murder detective psychologist serial killer,william mcnamara,holly hunter,harry connick jr.,jon amiel,crime drama mystery thriller agoraphobia copycat murder detective psychologist serial killer william mcnamara holly hunter harry connick jr. jon amiel
scary movie 5,comedy,2010s ape ballet psychic supernatural,marisa saks,snoop dogg,molly shannon,malcolm d. lee,comedy 2010s ape ballet psychic supernatural marisa saks snoop dogg molly shannon malcolm d. lee
paint your wagon,comedy drama musical romance western,california farmer gold mining prospector,clint eastwood,lee marvin,ray walston,joshua logan,comedy drama musical romance western california farmer gold mining prospector clint eastwood lee marvin ray walston joshua logan
milk,biography drama history,california gay gay activist gay pickup gay rights,james franco,denis o'hare,lucas grabeel,gus van sant,biography drama history california gay gay activist gay pickup gay rights james franco denis o'hare lucas grabeel gus van sant
risen,action adventure drama mystery,biblical crucifixion judea resurrection roman soldier,peter firth,jan cornet,maría botto,kevin reynolds,action adventure drama mystery biblical crucifixion judea resurrection roman soldier peter firth jan cornet maría botto kevin reynolds
ghost ship,horror,decapitation ghost ship passenger severed head torso cut in half,isaiah washington,ron eldard,francesca rettondini,steve beck,horror decapitation ghost ship passenger severed head torso cut in half isaiah washington ron eldard francesca rettondini steve beck
a very harold & kumar 3d christmas,adventure comedy,christmas christmas tree fire new york city stoner,patton oswalt,thomas lennon,paula garcés,todd strauss-schulson,adventure comedy christmas christmas tree fire new york city stoner patton oswalt thomas lennon paula garcés todd strauss-schulson
wild things,crime drama mystery thriller,erotic thriller forbidden sex lesbian sex sex with a student taboo sex,bill murray,robert wagner,jeff perry,john mcnaughton,crime drama mystery thriller erotic thriller forbidden sex lesbian sex sex with a student taboo sex bill murray robert wagner jeff perry john mcnaughton
the stepfather,crime thriller,head dunked in water military school plastic bag playing a video game suffocating,sela ward,paige turco,skyler samuels,nelson mccormick,crime thriller head dunked in water military school plastic bag playing a video game suffocating sela ward paige turco skyler samuels nelson mccormick
the debt,drama thriller,east berlin kiev ukraine mossad nazi nazi war criminal,tom wilkinson,jesper christensen,romi aboulafia,john madden,drama thriller east berlin kiev ukraine mossad nazi nazi war criminal tom wilkinson jesper christensen romi aboulafia john madden
high fidelity,comedy drama music romance,employer employee relationship record store store thirty something vinyl,drake bell,lili taylor,lisa bonet,stephen frears,comedy drama music romance employer employee relationship record store store thirty something vinyl drake bell lili taylor lisa bonet stephen frears
one missed call,horror mystery,death lifting someone into the air telephone telephone call voice mail,johnny lewis,jason beghe,margaret cho,eric valette,horror mystery death lifting someone into the air telephone telephone call voice mail johnny lewis jason beghe margaret cho eric valette
